app\compliance\registry\registry.py:0: error: Library stubs not installed for "yaml"  [import-untyped]
app\compliance\registry\registry.py:0: note: Hint: "python3 -m pip install types-PyYAML"
app\compliance\registry\registry.py:0: note: (or run "mypy --install-types" to install all missing stub packages)
app\compliance\registry\registry.py:0: note: See https://mypy.readthedocs.io/en/stable/running_mypy.html#missing-imports
app\dev_tracker\scanner.py:0: error: Unsupported operand types for in ("Sequence[str]" and "str")  [operator]
app\dev_tracker\scanner.py:0: error: Argument 1 to "get" of "dict" has incompatible type "str | None"; expected "str"  [arg-type]
app\dev_tracker\scanner.py:0: error: Argument 1 to "len" has incompatible type "object"; expected "Sized"  [arg-type]
app\compliance\vault\crypto.py:0: error: Item "None" of "str | None" has no attribute "encode"  [union-attr]
app\db\base.py:0: error: Argument 1 to "declared_attr" has incompatible type "Callable[[Base], str]"; expected "Callable[..., Mapped[Never] | ORMDescriptor[Never] | SQLCoreOperations[Never]]"  [arg-type]
app\models\tenant.py:0: error: Incompatible types in assignment (expression has type "str", base class "Base" defined the type as "Never")  [assignment]
app\models\tenant.py:0: error: Incompatible types in assignment (expression has type "str", base class "Base" defined the type as "Never")  [assignment]
app\models\supplier_payment.py:0: error: Incompatible types in assignment (expression has type "str", base class "Base" defined the type as "Never")  [assignment]
app\models\sales.py:0: error: Incompatible types in assignment (expression has type "str", base class "Base" defined the type as "Never")  [assignment]
app\models\sales.py:0: error: Incompatible types in assignment (expression has type "str", base class "Base" defined the type as "Never")  [assignment]
app\models\purchase.py:0: error: Incompatible types in assignment (expression has type "str", base class "Base" defined the type as "Never")  [assignment]
app\models\purchase.py:0: error: Incompatible types in assignment (expression has type "str", base class "Base" defined the type as "Never")  [assignment]
app\models\purchase.py:0: error: Incompatible types in assignment (expression has type "str", base class "Base" defined the type as "Never")  [assignment]
app\models\purchase.py:0: error: Incompatible types in assignment (expression has type "str", base class "Base" defined the type as "Never")  [assignment]
app\models\purchase.py:0: error: Incompatible types in assignment (expression has type "str", base class "Base" defined the type as "Never")  [assignment]
app\models\pos.py:0: error: Incompatible types in assignment (expression has type "str", base class "Base" defined the type as "Never")  [assignment]
app\models\pos.py:0: error: Incompatible types in assignment (expression has type "str", base class "Base" defined the type as "Never")  [assignment]
app\models\auth.py:0: error: Incompatible types in assignment (expression has type "str", base class "Base" defined the type as "Never")  [assignment]
app\models\auth.py:0: error: Need type annotation for "role"  [var-annotated]
app\models\auth.py:0: error: Incompatible types in assignment (expression has type "str", base class "Base" defined the type as "Never")  [assignment]
app\compliance\models\compliance.py:0: error: Incompatible types in assignment (expression has type "str", base class "Base" defined the type as "Never")  [assignment]
app\compliance\models\compliance.py:0: error: Argument 1 to "Column" has incompatible type "String"; expected "str | type[TypeEngine[int]] | TypeEngine[int] | SchemaEventTarget | None"  [arg-type]
app\compliance\models\compliance.py:0: error: Incompatible types in assignment (expression has type "str", base class "Base" defined the type as "Never")  [assignment]
app\compliance\models\compliance.py:0: error: Incompatible types in assignment (expression has type "str", base class "Base" defined the type as "Never")  [assignment]
app\compliance\models\compliance.py:0: error: Incompatible types in assignment (expression has type "str", base class "Base" defined the type as "Never")  [assignment]
app\models\inventory.py:0: error: Incompatible types in assignment (expression has type "str", base class "Base" defined the type as "Never")  [assignment]
app\models\inventory.py:0: error: Need type annotation for "secondary_barcodes"  [var-annotated]
app\models\inventory.py:0: error: Incompatible types in assignment (expression has type "str", base class "Base" defined the type as "Never")  [assignment]
app\models\crm.py:0: error: Incompatible types in assignment (expression has type "str", base class "Base" defined the type as "Never")  [assignment]
app\models\crm.py:0: error: Need type annotation for "allowed_payment_methods"  [var-annotated]
app\models\crm.py:0: error: Incompatible types in assignment (expression has type "str", base class "Base" defined the type as "Never")  [assignment]
app\models\crm.py:0: error: Need type annotation for "tags"  [var-annotated]
app\core\config.py:0: error: Missing named argument "JWT_SECRET_KEY" for "Settings"  [call-arg]
app\tests\conftest.py:0: error: The return type of an async generator function should be "AsyncGenerator" or one of its supertypes  [misc]
