CURRENT PATH,PROPOSED PATH,OLD LENGTH,NEW LENGTH,RESPONSIBILITY,REASON
docs/implementation/pos/Implementation_Plan_Dual_Field_Item_AutoSearch_And_Attribute_Inspector_v6.11.0.md,docs/implementation/pos/Plan_Dual_Field.md,81,18,Documentation in docs/implementation/pos,Standardized document filename <= 22 chars
docs/implementation/foundation/Commercial_Growth_Customer360_Fulfillment_And_Cost_Profitability_Plan_v1.0.md,docs/implementation/foundation/Comm_Growth.md,77,14,Documentation in docs/implementation/foundation,Standardized document filename <= 22 chars
docs/implementation/inventory/Implementation_Plan_Universal_ViewConfiguration_GlobalSchemaControl_v5.4.0.md,docs/implementation/inventory/Plan_Universal.md,77,17,Documentation in docs/implementation/inventory,Standardized document filename <= 22 chars
docs/implementation/inventory/Implementation_Plan_ViewConfiguration_And_ExcelMapper_Stabilization_v5.6.0.md,docs/implementation/inventory/Plan_ViewConfig.md,77,18,Documentation in docs/implementation/inventory,Standardized document filename <= 22 chars
docs/implementation/security/Implementation_Plan_DualMode_HUD_ZeroData_Login_FullActive_Session_v6.14.0.md,docs/implementation/security/Plan_DualMode_HUD.md,77,20,Documentation in docs/implementation/security,Standardized document filename <= 22 chars
docs/walkthrough/crm/CRM_Customer_Flow_Policy_Enforcement_And_Referential_Integrity_v6.15.0.md,docs/walkthrough/crm/CRM_Customer_Flow.md,73,20,Documentation in docs/walkthrough/crm,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Commercial_Growth_Customer360_Fulfillment_And_Cost_Profitability_v1.0.md,docs/walkthrough/foundation/Comm_Growth.md,72,14,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Multi_Tenant_Sales_Contract_And_Workspace_Themes_Remediation_v3.26.0.md,docs/walkthrough/foundation/Multi_Tenant.md,71,15,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/inventory/Inventory_Barcode_Label_Designer_And_Printer_Industrial_Logic_v6.2.0.md,docs/walkthrough/inventory/Inv_Barcode_Label.md,71,20,Documentation in docs/walkthrough/inventory,Standardized document filename <= 22 chars
docs/walkthrough/barcode/Barcode_Label_Designer_And_Printer_Stitch_Module_Replacement_v6.6.0.md,docs/walkthrough/barcode/Barcode_Label.md,70,16,Documentation in docs/walkthrough/barcode,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Foundation_F2_Headless_Browse_And_Product_Endpoint_Alignment_v6.0.0.md,docs/walkthrough/foundation/Fdn_F2_Headless.md,70,18,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/foundation/SystemicDebt_WorkflowEvent_ExchangeTz_ReportsN1_BarcodeRace_v3.21.0.md,docs/walkthrough/foundation/SystemicDebt.md,70,15,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Foundation_Database_Foundation_And_Domain_Layer_Walkthrough_v3.7.0.md,docs/walkthrough/foundation/Fdn_Database_Fdn.md,69,19,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/implementation/foundation/Platform_Refactor_Slice5_Approval_Workflow_Communicator_Plan_v1.0.md,docs/implementation/foundation/Platform_Refactor.md,68,20,Documentation in docs/implementation/foundation,Standardized document filename <= 22 chars
docs/implementation/security/Implementation_Plan_Auth_Guard_And_Bottom_Taskbar_Removal_v6.13.0.md,docs/implementation/security/Plan_Auth_Guard.md,68,18,Documentation in docs/implementation/security,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Foundation_Pilot_Origin_Gap_Hardening_And_Field_Readiness_v3.29.0.md,docs/walkthrough/foundation/Fdn_Pilot_Origin.md,68,19,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/security/Security_Management_Menu_Access_Control_And_Configuration_v6.16.0.md,docs/walkthrough/security/Sec_Mgmt_Menu.md,68,16,Documentation in docs/walkthrough/security,Standardized document filename <= 22 chars
docs/implementation/foundation/Platform_Refactor_Slice6_Capability_Template_Workspace_Plan_v1.0.md,docs/implementation/foundation/Platform_Refactor_2.md,67,22,Documentation in docs/implementation/foundation,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Foundation_Multi_Company_Assignment_And_Tenant_Isolation_v3.22.0.md,docs/walkthrough/foundation/Fdn_Multi_Company.md,67,20,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Platform_Ephemeral_Tenant_Harness_Migration_Verification_v6.16.0.md,docs/walkthrough/foundation/Platform.md,67,11,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/implementation/sales/Zero_Touch_Automated_GST_Customer_Classification_Engine_v3.26.0.md,docs/implementation/sales/Zero_Touch.md,66,13,Documentation in docs/implementation/sales,Standardized document filename <= 22 chars
docs/walkthrough/governance/Governance_User_Training_Readiness_And_E2E_Certification_v1.0.0.md,docs/walkthrough/governance/Gov_User_Training.md,66,20,Documentation in docs/walkthrough/governance,Standardized document filename <= 22 chars
docs/walkthrough/inventory/Inventory_ItemMaster_NonEditable_Sku_Barcode_Enforcement_v6.1.0.md,docs/walkthrough/inventory/Inv_ItemMaster.md,66,17,Documentation in docs/walkthrough/inventory,Standardized document filename <= 22 chars
docs/walkthrough/sales/Sales_Tax_Invoice_Tattly_Threads_Format_Master_Replication_v1.0.md,docs/walkthrough/sales/Sales_Tax_Invoice.md,66,20,Documentation in docs/walkthrough/sales,Standardized document filename <= 22 chars
docs/walkthrough/sales/Zero_Touch_Automated_GST_Customer_Classification_Engine_v3.26.0.md,docs/walkthrough/sales/Zero_Touch.md,66,13,Documentation in docs/walkthrough/sales,Standardized document filename <= 22 chars
docs/walkthrough/security/Security_DualMode_HUD_ZeroData_Login_FullActive_Session_v6.14.0.md,docs/walkthrough/security/Sec_DualMode_HUD.md,66,19,Documentation in docs/walkthrough/security,Standardized document filename <= 22 chars
docs/implementation/foundation/Configurable_Variant_Option_Matrix_And_Excel_Direct_Entry_v1.0.md,docs/implementation/foundation/Configurable.md,65,15,Documentation in docs/implementation/foundation,Standardized document filename <= 22 chars
