MnuNo,MenuOpt,MnuName,MnuCap,MnuPgm,ExeName,MnuWght,AllowWhenTrnClosed,pgmopt,DbInfo,MenuIcon,Menusep,MenuBold,MultiInstance,SourceFile
0,100,Shoper,Sales,M,,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
0,200,Shoper,Cash,M,,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
0,300,Shoper,Stock,M,,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
0,400,Shoper,Reports,M,,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
0,500,Shoper,Housekeeping,M,,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
0,600,Shoper,Catalogue,M,,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
0,700,Shoper,Setup,M,,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
0,800,Shoper,Help,M,,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
100,101,Sales,Billing,P,SR130000.EXE,0,0,0,0,,0,0,1,ZIP:SH9_013_EE_0_10.S9Q
100,102,Sales,Return,P,SR130000.EXE,0,0,0,0,,0,0,1,ZIP:SH9_013_EE_0_10.S9Q
100,103,Sales,Cancellation,P,SR130000.EXE,0,0,0,0,,0,0,1,ZIP:SH9_013_EE_0_10.S9Q
100,104,Sales,Sales Advice Slips,P,SR115500.EXE,0,0,2,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
100,105,Sales,Service Order,P,SR115500.EXE,0,0,7,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
100,106,Sales,Sales Order,P,SR115500.EXE,0,0,3,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
100,107,Sales,Sales Order Conversion,P,SR131400.EXE,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
100,108,Sales,Walk-in Entry,P,SR120100.EXE,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
100,109,Sales,Change Payment Mode,P,SR323300.EXE,0,1,1,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
100,110,Sales,Pending Order/Trn Closure,P,SE101100.EXE,0,1,1,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
100,111,Sales,Excise Invoice Generation,P,SR440100.EXE,0,0,0,0,,0,0,0,ZIP:SH9_0161_EE_0_01.S9Q
100,112,Sales,Transport Receipt Entry,P,SD400800.EXE,0,0,8,0,,0,0,0,ZIP:SH9_018_EE_0_01.S9Q
200,201,Cash,Cash Payouts,P,SR100200.EXE,0,0,2,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
200,202,Cash,Cash Receipts,P,SR100200.EXE,0,0,1,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
200,250,Cash,Credit Card Management,M,,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
200,260,Cash,Franchisee A/C,M,,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
200,270,Cash,Till Management,M,,0,0,0,0,,0,0,0,ZIP:SH9_016_EE_0_01.S9Q
200,280,Cash,Credit Sale Management,M,,0,0,0,0,,0,0,0,ZIP:SH9_019_EE_1_01.S9Q
250,251,Credit Card Management,Submission,P,SR100300.EXE,0,0,1,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
250,252,Credit Card Management,Realisation,P,SR100400.EXE,0,0,1,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
260,261,Franchisee A/C,Payments to HO,P,SR101900.EXE,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
260,262,Franchisee A/C,Franchisee Details Form,P,SR430600.Exe,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
260,263,Franchisee A/C,Franchisee Outstanding,P,SR203400.EXE,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
260,265,Franchisee A/C,Pay-in Slip Generation,P,SR410800.EXE,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
270,271,Till Management,Till Status,P,SR138900.EXE,0,0,1,0,,0,0,0,ZIP:SH9_016_EE_0_01.S9Q
270,272,Till Management,Set Opening Balance,P,SR138900.EXE,0,0,2,0,,0,0,0,ZIP:SH9_016_EE_0_01.S9Q
270,273,Till Management,Cash Lift,P,SR138900.EXE,0,0,3,0,,0,0,0,ZIP:SH9_016_EE_0_01.S9Q
