MnuNo,MenuOpt,MnuName,MnuCap,ExeName,DeletePattern,DeleteSource
100,102,Sales,Return,SR130000.EXE,DELETE_SIMPLE,SH9_016_EE_0_01.S9Q
100,102,Sales,Return,SR130000.EXE,DELETE_SIMPLE,ZIP:SH9_016_EE_0_01.S9Q
100,103,Sales,Cancellation,SR130000.EXE,DELETE_SIMPLE,SH9_016_EE_0_01.S9Q
100,103,Sales,Cancellation,SR130000.EXE,DELETE_SIMPLE,ZIP:SH9_016_EE_0_01.S9Q
270,277,,,,DELETE_SIMPLE,SH9_017_EE_1_01.S9Q
270,277,,,,DELETE_SIMPLE,ZIP:SH9_017_EE_1_01.S9Q
300,317,Stock,PT File Information,SR210700.EXE,DELETE_SIMPLE,SH9_019_EE_0_01.S9Q
300,317,Stock,PT File Information,SR210700.EXE,DELETE_SIMPLE,ZIP:SH9_019_EE_0_01.S9Q
500,570,Housekeeping,Alerts Management,SR435600.exe,DELETE_IN,SH9_017_EE_4_20.S9Q
500,570,Housekeeping,Alerts Management,SR435600.exe,DELETE_IN,ZIP:SH9_017_EE_4_20.S9Q
500,571,Housekeeping,Communication Configuration,SR440600.exe,DELETE_IN,SH9_017_EE_4_20.S9Q
500,571,Housekeeping,Communication Configuration,SR440600.exe,DELETE_IN,ZIP:SH9_017_EE_4_20.S9Q
600,603,Duties & Taxes,Taxes and Duties,,DELETE_SIMPLE,SH9_020_EE_0_02.S9Q
600,603,Duties & Taxes,Taxes and Duties,,DELETE_SIMPLE,ZIP:SH9_020_EE_0_02.S9Q
600,609,Factors,Factors,SR100700.Exe,DELETE_SIMPLE,SH9_020_EE_0_02.S9Q
600,609,Factors,Factors,SR100700.Exe,DELETE_SIMPLE,ZIP:SH9_020_EE_0_02.S9Q
600,612,Personnel,Personnel,,DELETE_SIMPLE,SH9_020_EE_0_02.S9Q
600,612,Personnel,Personnel,,DELETE_SIMPLE,ZIP:SH9_020_EE_0_02.S9Q
600,613,Customer,Customer,,DELETE_SIMPLE,SH9_020_EE_0_02.S9Q
600,613,Customer,Customer,,DELETE_SIMPLE,ZIP:SH9_020_EE_0_02.S9Q
600,614,Multiple Price,Define Multiple Prices,,DELETE_SIMPLE,SH9_020_EE_0_02.S9Q
600,614,Multiple Price,Define Multiple Prices,,DELETE_SIMPLE,ZIP:SH9_020_EE_0_02.S9Q
600,615,Period,Period,,DELETE_SIMPLE,SH9_020_EE_0_02.S9Q
600,615,Period,Period,,DELETE_SIMPLE,ZIP:SH9_020_EE_0_02.S9Q
600,616,Catalogue,Print Address Labels,SR323600.EXE,DELETE_SIMPLE,SH9_020_EE_0_02.S9Q
600,616,Catalogue,Print Address Labels,SR323600.EXE,DELETE_SIMPLE,ZIP:SH9_020_EE_0_02.S9Q
600,617,Excise Duty,Excise Duty,SR439900.EXE,DELETE_SIMPLE,SH9_020_EE_0_02.S9Q
600,617,Excise Duty,Excise Duty,SR439900.EXE,DELETE_SIMPLE,ZIP:SH9_020_EE_0_02.S9Q
650,659,,,,DELETE_CAP:History Report,SH9_019_EE_0_01.S9Q
650,659,,,,DELETE_CAP:History Report,ZIP:SH9_019_EE_0_01.S9Q
720,726,General,Entry Panel Configuration,SR443300.exe,DELETE_SIMPLE,SH9_020_EE_0_02.S9Q
720,726,General,Entry Panel Configuration,SR443300.exe,DELETE_SIMPLE,ZIP:SH9_020_EE_0_02.S9Q
750,751,Supervisory Functions,User Authorisation,SR406100.EXE,DELETE_SIMPLE,SH9_015_EE_7_07.S9Q
750,751,Supervisory Functions,User Authorisation,SR406100.EXE,DELETE_SIMPLE,ZIP:SH9_015_EE_7_07.S9Q
750,752,Supervisory Functions,Change Password,SR406000.exe,DELETE_SIMPLE,SH9_015_EE_7_07.S9Q
750,752,Supervisory Functions,Change Password,SR406000.exe,DELETE_SIMPLE,ZIP:SH9_015_EE_7_07.S9Q
750,753,Supervisory Functions,Menu / User Weights,SR413900.EXE,DELETE_SIMPLE,SH9_015_EE_7_07.S9Q
750,753,Supervisory Functions,Menu / User Weights,SR413900.EXE,DELETE_SIMPLE,ZIP:SH9_015_EE_7_07.S9Q
750,754,Supervisory Functions,Menu / Node Restriction,SR413300.EXE,DELETE_SIMPLE,SH9_015_EE_7_07.S9Q
750,754,Supervisory Functions,Menu / Node Restriction,SR413300.EXE,DELETE_SIMPLE,ZIP:SH9_015_EE_7_07.S9Q
950,951,,,,DELETE_SIMPLE,SH9_015_EE_7_07.S9Q
950,951,,,,DELETE_SIMPLE,ZIP:SH9_015_EE_7_07.S9Q
950,952,,,,DELETE_SIMPLE,SH9_015_EE_7_07.S9Q
950,952,,,,DELETE_SIMPLE,ZIP:SH9_015_EE_7_07.S9Q
950,954,,,,DELETE_SIMPLE,SH9_015_EE_7_07.S9Q
950,954,,,,DELETE_SIMPLE,ZIP:SH9_015_EE_7_07.S9Q
950,955,,,,DELETE_SIMPLE,SH9_015_EE_7_07.S9Q
950,955,,,,DELETE_SIMPLE,ZIP:SH9_015_EE_7_07.S9Q
950,957,,,,DELETE_SIMPLE,SH9_015_EE_7_07.S9Q
950,957,,,,DELETE_SIMPLE,ZIP:SH9_015_EE_7_07.S9Q
950,983,,,,DELETE_SIMPLE,SH9_015_EE_7_07.S9Q
950,983,,,,DELETE_SIMPLE,ZIP:SH9_015_EE_7_07.S9Q
