ExeName,Classification,MenuCount,Capabilities,MnuRefs
CZ100700.EXE,INVENTORY,1,Stock Factors,609/6092
SD400800.EXE,EXECUTABLE,1,Transport Receipt Entry,100/112
SE100120.EXE,IMPORT_EXPORT,1,Import,560/562
SE100140.EXE,CONFIGURATION,1,Configure,560/561
SE100220.EXE,EXECUTABLE,1,Schedule Details,650/656
SE100280.exe,TRANSACTION,1,Purchase Order Configuration,380/390
SE100400.EXE,IMPORT_EXPORT,1,Import,380/383
SE100900.EXE,EXECUTABLE,1,Generation,380/381
SE101000.EXE,EXECUTABLE,1,PO/Indent Conversion,380/389
SE101100.EXE,TRANSACTION,1,Pending Order/Trn Closure,100/110
SE127800.exe,EXECUTABLE,4,Foreclosure | Reopen | Export | Reprint,380/384 | 380/385 | 380/386 | 380/387
SE200300.exe,MASTER,1,Season Catalogue,615/6123
SE201000.EXE,INVENTORY,1,Stock across Chain,470/478
SE201200.EXE,REPORT,1,Status Report,380/388
SE301100.EXE,UTILITY,1,Synchronise Manually,520/522
SE301600.exe,UTILITY,1,Configure Synchronisation,520/523
SE900310.EXE,EXECUTABLE,1,Database Tuning Utility,500/506
SH400600.exe,MASTER,1,Week Catalogue,615/6122
SH400900.EXE,EXECUTABLE,1,Product + Brand Combo Settings,614/6140
SR100200.EXE,FINANCIAL,2,Cash Payouts | Cash Receipts,200/201 | 200/202
SR100300.EXE,REPORT,1,Submission,250/251
SR100400.EXE,EXECUTABLE,1,Realisation,250/252
SR101000.exe,INVENTORY,1,Physical Verification,300/312
SR101900.EXE,FINANCIAL,1,Payments to HO,260/261
SR115500.EXE,EXECUTABLE,3,Sales Advice Slips | Service Order | Sales Order,100/104 | 100/105 | 100/106
SR120100.EXE,TRANSACTION,1,Walk-in Entry,100/108
SR122000.exe,MASTER,1,Item Master,600/606
SR123000.EXE,INVENTORY,1,Stock Number Methodology,720/723
SR127000.EXE,INVENTORY,1,Goods Inwards,300/313
SR129500.EXE,INVENTORY,1,Goods Inwards Size-wise,300/314
SR130000.EXE,TRANSACTION,1,Billing,100/101
SR131400.EXE,TRANSACTION,1,Sales Order Conversion,100/107
SR138900.EXE,FINANCIAL,6,Till Status | Set Opening Balance | Cash Lift | Reconciliation | Open Cash Drawer | Till - Reprint,270/271 | 270/272 | 270/273 | 270/274 | 270/275 | 270/276
SR142500.EXE,FINANCIAL,3,Collect Payment | Set Opening Balance | Clear Credit Note,280/281 | 280/282 | 280/283
