MnuNo,MnuName_Parent,MenuOpt,MnuCap,MnuPgm,ExeName,pgmopt,AllowWhenTrnClosed,MultiInstance
0,Shoper,100,Sales,M,,0,0,0
0,Shoper,200,Cash,M,,0,0,0
0,Shoper,300,Stock,M,,0,0,0
0,Shoper,400,Reports,M,,0,0,0
0,Shoper,500,Housekeeping,M,,0,0,0
0,Shoper,600,Catalogue,M,,0,0,0
0,Shoper,700,Setup,M,,0,0,0
0,Shoper,800,Help,M,,0,0,0
100,Sales,101,Billing,P,SR130000.EXE,0,0,1
100,Sales,102,Return,P,SR130000.EXE,0,0,1
100,Sales,103,Cancellation,P,SR130000.EXE,0,0,1
100,Sales,104,Sales Advice Slips,P,SR115500.EXE,2,0,0
100,Sales,105,Service Order,P,SR115500.EXE,7,0,0
100,Sales,106,Sales Order,P,SR115500.EXE,3,0,0
100,Sales,107,Sales Order Conversion,P,SR131400.EXE,0,0,0
100,Sales,108,Walk-in Entry,P,SR120100.EXE,0,0,0
100,Sales,109,Change Payment Mode,P,SR323300.EXE,1,1,0
100,Sales,110,Pending Order/Trn Closure,P,SE101100.EXE,1,1,0
100,Sales,111,Excise Invoice Generation,P,SR440100.EXE,0,0,0
100,Sales,112,Transport Receipt Entry,P,SD400800.EXE,8,0,0
200,Cash,201,Cash Payouts,P,SR100200.EXE,2,0,0
200,Cash,202,Cash Receipts,P,SR100200.EXE,1,0,0
200,Cash,250,Credit Card Management,M,,0,0,0
200,Cash,260,Franchisee A/C,M,,0,0,0
200,Cash,270,Till Management,M,,0,0,0
200,Cash,280,Credit Sale Management,M,,0,0,0
250,Credit Card Management,251,Submission,P,SR100300.EXE,1,0,0
250,Credit Card Management,252,Realisation,P,SR100400.EXE,1,0,0
260,Franchisee A/C,261,Payments to HO,P,SR101900.EXE,0,0,0
260,Franchisee A/C,262,Franchisee Details Form,P,SR430600.Exe,0,0,0
260,Franchisee A/C,263,Franchisee Outstanding,P,SR203400.EXE,0,0,0
260,Franchisee A/C,265,Pay-in Slip Generation,P,SR410800.EXE,0,0,0
270,Till Management,271,Till Status,P,SR138900.EXE,1,0,0
270,Till Management,272,Set Opening Balance,P,SR138900.EXE,2,0,0
270,Till Management,273,Cash Lift,P,SR138900.EXE,3,0,0
270,Till Management,274,Reconciliation,P,SR138900.EXE,4,0,0
270,Till Management,275,Open Cash Drawer,P,SR138900.EXE,5,0,0
270,Till Management,276,Till - Reprint,P,SR138900.EXE,6,0,0
280,Credit Sale Management,281,Collect Payment,P,SR142500.EXE,0,0,0
