pgmopt,KnownMeaning,Status,LinkedMenuCaps
1,Sales (Retail/POS),KNOWN,Change Payment Mode (SR323300.EXE) | Pending Order/Trn Closure (SE101100.EXE) | Cash Receipts (SR100200.EXE)
2,Sales Return,KNOWN,Sales Advice Slips (SR115500.EXE) | Cash Payouts (SR100200.EXE) | Set Opening Balance (SR138900.EXE)
3,Cancellation / Void,KNOWN,Sales Order (SR115500.EXE) | Cash Lift (SR138900.EXE) | Reopen (SE127800.exe)
4,Sales Order,KNOWN,Reconciliation (SR138900.EXE) | Export (SE127800.exe) | Price Revision Authorisation (SR230500.exe)
5,Service Order,KNOWN,Open Cash Drawer (SR138900.EXE) | Reprint (SE127800.exe) | Changes Master (SR431700.EXE)
6,Walk-in,KNOWN,Till - Reprint (SR138900.EXE) | Monthly comparision (SR435600.EXE)
7,Sales Advice Slip,KNOWN,Service Order (SR115500.EXE) | Manage Missing Vouchers (SR431700.EXE)
8,,CONTEXT_REQUIRED,Transport Receipt Entry (SD400800.EXE) | Live Chat (sr428900.Exe) | Product-wise (SR435600.EXE)
9,,CONTEXT_REQUIRED,Offline Re-posting (SR431700.EXE) | Product + Brand-wise (SR435600.EXE)
10,,CONTEXT_REQUIRED,Item-wise (SR435600.EXE)
11,,CONTEXT_REQUIRED,Voucher Comparison Utility (SR431700.EXE) | Item-wise Balance (SR435600.EXE)
12,,CONTEXT_REQUIRED,Size-wise Balance (SR435600.EXE)
13,,CONTEXT_REQUIRED,Movement (SR435600.EXE)
14,,CONTEXT_REQUIRED,Analysis (SR435600.EXE)
201,Stock Transfer,KNOWN,Sales (SR435600.EXE)
202,Physical Verification,KNOWN,Stock (SR435600.EXE)
203,Goods Outwards,KNOWN,Sales && Stock (SR435600.EXE)
204,Delivery Challan,KNOWN,Stock as on Date (SR435600.EXE)
205,Report: Tender,KNOWN,Tender (SR435600.EXE)
206,Report: Slips,KNOWN,Slips (SR435600.EXE)
302,Cash Payment,KNOWN,Schedule for &Reports (SR435600.EXE)
