invoice_number,invoice_date,due_date,status,po_so_reference,sis_site_code,seller_company,seller_gstin,customer_name,customer_gstin,customer_code,billing_address,shipping_address,subtotal,cgst_rate_pct,cgst_amount,sgst_rate_pct,sgst_amount,igst_rate_pct,igst_amount,tax_total,grand_total,payment_mode,notes
TT2026-2027/18,2026-08-12,2026-08-12,COMPLETED,5182778151,1888,Tattly Threads Ltd,27AAACT0001A1Z5,Reliance Retail Limited,27AAACR1921R1Z5,RRL-001,"Reliance Retail Ltd, SIS Site 1888, Commercial Hub, Mumbai, Maharashtra 400051","Reliance Retail Warehouse, SIS Site 1888, Logistics Park, Bhiwandi, Maharashtra 421302",168634.88,0.0,0.0,0.0,0.0,18.0,8431.76,8431.76,177066.64,CREDIT,SIS Code: 1888 | PO/SO: 5182778151
TT2026-2027/19,2026-08-12,2026-08-12,COMPLETED,5182778152,1969,Tattly Threads Ltd,27AAACT0001A1Z5,Reliance Retail Limited,27AAACR1921R1Z5,RRL-001,"Reliance Retail Ltd, SIS Site 1969, Commercial Hub, Mumbai, Maharashtra 400051","Reliance Retail Warehouse, SIS Site 1969, Logistics Park, Bhiwandi, Maharashtra 421302",168634.88,0.0,0.0,0.0,0.0,18.0,8431.76,8431.76,177066.64,CREDIT,SIS Code: 1969 | PO/SO: 5182778152
TT2026-2027/20,2026-08-12,2026-08-12,COMPLETED,5182778153,1977,Tattly Threads Ltd,27AAACT0001A1Z5,Reliance Retail Limited,27AAACR1921R1Z5,RRL-001,"Reliance Retail Ltd, SIS Site 1977, Commercial Hub, Mumbai, Maharashtra 400051","Reliance Retail Warehouse, SIS Site 1977, Logistics Park, Bhiwandi, Maharashtra 421302",155538.24,0.0,0.0,0.0,0.0,18.0,7776.84,7776.84,163315.08,CREDIT,SIS Code: 1977 | PO/SO: 5182778153
TT2026-2027/21,2026-08-12,2026-08-12,COMPLETED,5182778154,8155,Tattly Threads Ltd,27AAACT0001A1Z5,Reliance Retail Limited,27AAACR1921R1Z5,RRL-001,"Reliance Retail Ltd, SIS Site 8155, Commercial Hub, Mumbai, Maharashtra 400051","Reliance Retail Warehouse, SIS Site 8155, Logistics Park, Bhiwandi, Maharashtra 421302",106127.36,0.0,0.0,0.0,0.0,18.0,5306.32,5306.32,111433.68,CREDIT,SIS Code: 8155 | PO/SO: 5182778154
TT2026-2027/22,2026-08-12,2026-08-12,COMPLETED,5182778155,8313,Tattly Threads Ltd,27AAACT0001A1Z5,Reliance Retail Limited,27AAACR1921R1Z5,RRL-001,"Reliance Retail Ltd, SIS Site 8313, Commercial Hub, Mumbai, Maharashtra 400051","Reliance Retail Warehouse, SIS Site 8313, Logistics Park, Bhiwandi, Maharashtra 421302",106127.36,0.0,0.0,0.0,0.0,18.0,5306.32,5306.32,111433.68,CREDIT,SIS Code: 8313 | PO/SO: 5182778155
TT2026-2027/23,2026-08-12,2026-08-12,COMPLETED,5182778156,8361,Tattly Threads Ltd,27AAACT0001A1Z5,Reliance Retail Limited,27AAACR1921R1Z5,RRL-001,"Reliance Retail Ltd, SIS Site 8361, Commercial Hub, Mumbai, Maharashtra 400051","Reliance Retail Warehouse, SIS Site 8361, Logistics Park, Bhiwandi, Maharashtra 421302",134289.6,0.0,0.0,0.0,0.0,18.0,6714.44,6714.44,141004.04,CREDIT,SIS Code: 8361 | PO/SO: 5182778156
TT2026-2027/24,2026-08-12,2026-08-12,COMPLETED,5182778157,9556,Tattly Threads Ltd,27AAACT0001A1Z5,Reliance Retail Limited,27AAACR1921R1Z5,RRL-001,"Reliance Retail Ltd, SIS Site 9556, Commercial Hub, Mumbai, Maharashtra 400051","Reliance Retail Warehouse, SIS Site 9556, Logistics Park, Bhiwandi, Maharashtra 421302",168634.88,0.0,0.0,0.0,0.0,18.0,8431.76,8431.76,177066.64,CREDIT,SIS Code: 9556 | PO/SO: 5182778157
TT2026-2027/25,2026-08-12,2026-08-12,COMPLETED,5182778159,T0N6,Tattly Threads Ltd,27AAACT0001A1Z5,Reliance Retail Limited,27AAACR1921R1Z5,RRL-001,"Reliance Retail Ltd, SIS Site T0N6, Commercial Hub, Mumbai, Maharashtra 400051","Reliance Retail Warehouse, SIS Site T0N6, Logistics Park, Bhiwandi, Maharashtra 421302",106127.36,0.0,0.0,0.0,0.0,18.0,5306.32,5306.32,111433.68,CREDIT,SIS Code: T0N6 | PO/SO: 5182778159
TT2026-2027/26,2026-08-12,2026-08-12,COMPLETED,5182778160,T1BJ,Tattly Threads Ltd,27AAACT0001A1Z5,Reliance Retail Limited,27AAACR1921R1Z5,RRL-001,"Reliance Retail Ltd, SIS Site T1BJ, Commercial Hub, Mumbai, Maharashtra 400051","Reliance Retail Warehouse, SIS Site T1BJ, Logistics Park, Bhiwandi, Maharashtra 421302",135526.32,0.0,0.0,0.0,0.0,18.0,6776.27,6776.27,142302.59,CREDIT,SIS Code: T1BJ | PO/SO: 5182778160
TT2026-2027/27,2026-08-12,2026-08-12,COMPLETED,5182778161,T25I,Tattly Threads Ltd,27AAACT0001A1Z5,Reliance Retail Limited,27AAACR1921R1Z5,RRL-001,"Reliance Retail Ltd, SIS Site T25I, Commercial Hub, Mumbai, Maharashtra 400051","Reliance Retail Warehouse, SIS Site T25I, Logistics Park, Bhiwandi, Maharashtra 421302",76446.08,0.0,0.0,0.0,0.0,18.0,3822.28,3822.28,80268.36,CREDIT,SIS Code: T25I | PO/SO: 5182778161
