barcode,style_code,item_description,brand,category,color,size,planned_mrp,selling_price,cost_price,hsn_code,gst_percentage,stock_quantity
7007007007001,CH-01-A,BASIC,TATTLY THREADS,Apparel,CHIKKU,35,1899.0,1899.0,375.0,,5.0,100
7007007007002,CH-01-A,BASIC,TATTLY THREADS,Apparel,CHIKKU,36,1899.0,1899.0,375.0,,5.0,100
7007007007003,CH-01-A,BASIC,TATTLY THREADS,Apparel,CHIKKU,37,1899.0,1899.0,375.0,,5.0,100
7007007007004,CH-01-A,BASIC,TATTLY THREADS,Apparel,CHIKKU,38,1899.0,1899.0,375.0,,5.0,100
7007007007005,CH-01-A,BASIC,TATTLY THREADS,Apparel,CHIKKU,39,1899.0,1899.0,375.0,,5.0,100
7007007007006,CH-01-A,BASIC,TATTLY THREADS,Apparel,CHIKKU,40,1899.0,1899.0,375.0,,5.0,100
7007007007007,CH-01-A,BASIC,TATTLY THREADS,Apparel,CHIKKU,41,1899.0,1899.0,375.0,,5.0,100
7007007007008,CH-01-A,BASIC,TATTLY THREADS,Apparel,CHIKKU,42,1899.0,1899.0,375.0,,5.0,100
7007007007009,CH-01-A,BASIC,TATTLY THREADS,Apparel,MUSTARD,35,1899.0,1899.0,375.0,,5.0,100
7007007007010,CH-01-A,BASIC,TATTLY THREADS,Apparel,MUSTARD,36,1899.0,1899.0,375.0,,5.0,100
7007007007011,CH-01-A,BASIC,TATTLY THREADS,Apparel,MUSTARD,37,1899.0,1899.0,375.0,,5.0,100
7007007007012,CH-01-A,BASIC,TATTLY THREADS,Apparel,MUSTARD,38,1899.0,1899.0,375.0,,5.0,100
7007007007013,CH-01-A,BASIC,TATTLY THREADS,Apparel,MUSTARD,39,1899.0,1899.0,375.0,,5.0,100
7007007007014,CH-01-A,BASIC,TATTLY THREADS,Apparel,MUSTARD,40,1899.0,1899.0,375.0,,5.0,100
7007007007015,CH-01-A,BASIC,TATTLY THREADS,Apparel,MUSTARD,41,1899.0,1899.0,375.0,,5.0,100
7007007007016,CH-01-A,BASIC,TATTLY THREADS,Apparel,MUSTARD,42,1899.0,1899.0,375.0,,5.0,100
7007007007017,CH-02-A,COMFORT,TATTLY THREADS,Apparel,BLACK,35,2599.0,2599.0,540.0,,5.0,100
7007007007018,CH-02-A,COMFORT,TATTLY THREADS,Apparel,BLACK,36,2599.0,2599.0,540.0,,5.0,100
7007007007019,CH-02-A,COMFORT,TATTLY THREADS,Apparel,BLACK,37,2599.0,2599.0,540.0,,5.0,100
7007007007020,CH-02-A,COMFORT,TATTLY THREADS,Apparel,BLACK,38,2599.0,2599.0,540.0,,5.0,100
7007007007021,CH-02-A,COMFORT,TATTLY THREADS,Apparel,BLACK,39,2599.0,2599.0,540.0,,5.0,100
7007007007022,CH-02-A,COMFORT,TATTLY THREADS,Apparel,BLACK,40,2599.0,2599.0,540.0,,5.0,100
7007007007023,CH-02-A,COMFORT,TATTLY THREADS,Apparel,BLACK,41,2599.0,2599.0,540.0,,5.0,100
7007007007024,CH-02-A,COMFORT,TATTLY THREADS,Apparel,BLACK,42,2599.0,2599.0,540.0,,5.0,100
7007007007025,CH-02-A,COMFORT,TATTLY THREADS,Apparel,BRONZE,35,2599.0,2599.0,540.0,,5.0,100
7007007007026,CH-02-A,COMFORT,TATTLY THREADS,Apparel,BRONZE,36,2599.0,2599.0,540.0,,5.0,100
7007007007027,CH-02-A,COMFORT,TATTLY THREADS,Apparel,BRONZE,37,2599.0,2599.0,540.0,,5.0,100
7007007007028,CH-02-A,COMFORT,TATTLY THREADS,Apparel,BRONZE,38,2599.0,2599.0,540.0,,5.0,100
7007007007029,CH-02-A,COMFORT,TATTLY THREADS,Apparel,BRONZE,39,2599.0,2599.0,540.0,,5.0,100
