invoice_no,order_id,customer_id,sales_person_id,billing_site_id,shipping_site_id,tax_profile_id,invoice_date,due_date,subtotal,tax_total,cgst_amount,sgst_amount,igst_amount,discount_amount,grand_total,paid_amount,balance_due,status,notes,id,uuid,tenant_id,company_id,branch_id,created_at,modified_at,created_by,updated_by,is_active,is_deleted,deleted_at,deleted_by,version,workflow_status,document_number
TT2026-2027/18,,cust-rrl-192b561d,,site-rrl-1888-1a7b89,site-rrl-1888-1a7b89,tax-rrl-18-cb9c84,2026-08-12T00:00:00+00:00,2026-08-12T00:00:00+00:00,168634.88,8431.76,0.0,0.0,8431.76,0.0,177066.64,0.0,177066.64,COMPLETED,SIS Code: 1888 | PO/SO: 5182778151,inv-60a109a6ab4c,fe86967f-dca4-45da-9503-06823bfe4bcb,tenant-default,comp-tattly-threads,br-tattly-hq,2026-08-12T00:00:00+00:00,2026-08-12T00:00:00+00:00,,,True,False,,,1,POSTED,
TT2026-2027/19,,cust-rrl-192b561d,,site-rrl-1969-0847ae,site-rrl-1969-0847ae,tax-rrl-18-cb9c84,2026-08-12T00:00:00+00:00,2026-08-12T00:00:00+00:00,168634.88,8431.76,0.0,0.0,8431.76,0.0,177066.64,0.0,177066.64,COMPLETED,SIS Code: 1969 | PO/SO: 5182778152,inv-42932d92b2e8,243d882a-1762-46e2-90f7-3a1179652e4a,tenant-default,comp-tattly-threads,br-tattly-hq,2026-08-12T00:00:00+00:00,2026-08-12T00:00:00+00:00,,,True,False,,,1,POSTED,
TT2026-2027/20,,cust-rrl-192b561d,,site-rrl-1977-1cc6e6,site-rrl-1977-1cc6e6,tax-rrl-36-6dd616,2026-08-12T00:00:00+00:00,2026-08-12T00:00:00+00:00,155538.24,7776.84,0.0,0.0,7776.84,0.0,163315.08,0.0,163315.08,COMPLETED,SIS Code: 1977 | PO/SO: 5182778153,inv-6c514150a4e6,db6a204d-aeae-4bab-a29f-01b266536781,tenant-default,comp-tattly-threads,br-tattly-hq,2026-08-12T00:00:00+00:00,2026-08-12T00:00:00+00:00,,,True,False,,,1,POSTED,
TT2026-2027/21,,cust-rrl-192b561d,,site-rrl-8155-ece9d3,site-rrl-8155-ece9d3,tax-rrl-37-4bc3fc,2026-08-12T00:00:00+00:00,2026-08-12T00:00:00+00:00,106127.36,5306.32,0.0,0.0,5306.32,0.0,111433.68,0.0,111433.68,COMPLETED,SIS Code: 8155 | PO/SO: 5182778154,inv-cba64b9085f9,16769d42-71d4-457d-b58e-e8435ae88789,tenant-default,comp-tattly-threads,br-tattly-hq,2026-08-12T00:00:00+00:00,2026-08-12T00:00:00+00:00,,,True,False,,,1,POSTED,
TT2026-2027/22,,cust-rrl-192b561d,,site-rrl-8313-a15a5b,site-rrl-8313-a15a5b,tax-rrl-29-c853e8,2026-08-12T00:00:00+00:00,2026-08-12T00:00:00+00:00,106127.36,5306.32,0.0,0.0,5306.32,0.0,111433.68,0.0,111433.68,COMPLETED,SIS Code: 8313 | PO/SO: 5182778155,inv-259144471c8d,3d88eba9-7bb1-44e4-8b06-96f8065a7f1d,tenant-default,comp-tattly-threads,br-tattly-hq,2026-08-12T00:00:00+00:00,2026-08-12T00:00:00+00:00,,,True,False,,,1,POSTED,
TT2026-2027/23,,cust-rrl-192b561d,,site-rrl-8361-81d3ad,site-rrl-8361-81d3ad,tax-rrl-32-beb754,2026-08-12T00:00:00+00:00,2026-08-12T00:00:00+00:00,134289.6,6714.44,0.0,0.0,6714.44,0.0,141004.04,0.0,141004.04,COMPLETED,SIS Code: 8361 | PO/SO: 5182778156,inv-455b82b85f48,5513b0e6-4a46-49ff-8bc8-a8850f4d217d,tenant-default,comp-tattly-threads,br-tattly-hq,2026-08-12T00:00:00+00:00,2026-08-12T00:00:00+00:00,,,True,False,,,1,POSTED,
TT2026-2027/24,,cust-rrl-192b561d,,site-rrl-9556-5db849,site-rrl-9556-5db849,tax-rrl-16-9b93e7,2026-08-12T00:00:00+00:00,2026-08-12T00:00:00+00:00,168634.88,8431.76,0.0,0.0,8431.76,0.0,177066.64,0.0,177066.64,COMPLETED,SIS Code: 9556 | PO/SO: 5182778157,inv-e9f9128e6041,f3330851-6110-43bb-b98f-92d89df64ce6,tenant-default,comp-tattly-threads,br-tattly-hq,2026-08-12T00:00:00+00:00,2026-08-12T00:00:00+00:00,,,True,False,,,1,POSTED,
TT2026-2027/25,,cust-rrl-192b561d,,site-rrl-t0n6-0650a5,site-rrl-t0n6-0650a5,tax-rrl-37-4bc3fc,2026-08-12T00:00:00+00:00,2026-08-12T00:00:00+00:00,106127.36,5306.32,0.0,0.0,5306.32,0.0,111433.68,0.0,111433.68,COMPLETED,SIS Code: T0N6 | PO/SO: 5182778159,inv-d89f60505b00,55178949-80af-4289-aba6-f7a5288599b5,tenant-default,comp-tattly-threads,br-tattly-hq,2026-08-12T00:00:00+00:00,2026-08-12T00:00:00+00:00,,,True,False,,,1,POSTED,
TT2026-2027/26,,cust-rrl-192b561d,,site-rrl-t1bj-910c20,site-rrl-t1bj-910c20,tax-rrl-36-6dd616,2026-08-12T00:00:00+00:00,2026-08-12T00:00:00+00:00,135526.32,6776.27,0.0,0.0,6776.27,0.0,142302.59,0.0,142302.59,COMPLETED,SIS Code: T1BJ | PO/SO: 5182778160,inv-df6e3b2423eb,cbebfcf6-07a7-4227-bbdd-f33861358435,tenant-default,comp-tattly-threads,br-tattly-hq,2026-08-12T00:00:00+00:00,2026-08-12T00:00:00+00:00,,,True,False,,,1,POSTED,
TT2026-2027/27,,cust-rrl-192b561d,,site-rrl-t25i-f89bf9,site-rrl-t25i-f89bf9,tax-rrl-33-7a962f,2026-08-12T00:00:00+00:00,2026-08-12T00:00:00+00:00,76446.08,3822.28,0.0,0.0,3822.28,0.0,80268.36,0.0,80268.36,COMPLETED,SIS Code: T25I | PO/SO: 5182778161,inv-f5465e2051c6,ef744f3c-715e-4031-89f8-cabf38f4fd73,tenant-default,comp-tattly-threads,br-tattly-hq,2026-08-12T00:00:00+00:00,2026-08-12T00:00:00+00:00,,,True,False,,,1,POSTED,
